1.34992, 0.300025, -161.007, -17.1488
1.34969, 0.300109, -324.403, -33.6569
1.34929, 0.300253, -487.773, -50.1843
1.34873, 0.300456, -651.106, -66.7411
1.34802, 0.300719, -814.388, -83.3372
1.34714, 0.301044, -977.607, -99.9829
1.34611, 0.301429, -1140.75, -116.689
1.34491, 0.301876, -1303.8, -133.465
1.34355, 0.302387, -1466.75, -150.322
1.34203, 0.302961, -1629.58, -167.272
1.34035, 0.3036, -1792.28, -184.326
1.33852, 0.304306, -1954.83, -201.494
1.33651, 0.30508, -2117.22, -218.789
1.33435, 0.305922, -2279.44, -236.224
1.33203, 0.306835, -2441.46, -253.81
1.32954, 0.307821, -2603.27, -271.561
1.32689, 0.308882, -2764.85, -289.49
1.32407, 0.310018, -2926.2, -307.611
1.3211, 0.311234, -3087.27, -325.938
1.31795, 0.31253, -3248.07, -344.487
1.31465, 0.313909, -3408.57, -363.273
1.31117, 0.315374, -3568.74, -382.311
1.30754, 0.316927, -3728.58, -401.618
1.30373, 0.318571, -3888.04, -421.212
1.29976, 0.320309, -4047.13, -441.11
1.29562, 0.322145, -4205.8, -461.33
1.29131, 0.32408, -4364.04, -481.892
1.28683, 0.32612, -4521.82, -502.815
1.28218, 0.328267, -4679.12, -524.12
1.27736, 0.330524, -4835.9, -545.827
1.27236, 0.332896, -4992.14, -567.959
1.2672, 0.335387, -5147.82, -590.537
1.26185, 0.338001, -5302.89, -613.585
1.25633, 0.340742, -5457.34, -637.127
1.25064, 0.343614, -5611.13, -661.187
1.24476, 0.346622, -5764.22, -685.79
1.23871, 0.349772, -5916.58, -710.962
1.23247, 0.353068, -6068.19, -736.729
1.22605, 0.356515, -6218.99, -763.119
1.21945, 0.360118, -6368.96, -790.157
1.21266, 0.363884, -6518.07, -817.873
1.20568, 0.367818, -6666.26, -846.294
1.19851, 0.371925, -6813.5, -875.449
1.19114, 0.376213, -6959.76, -905.366
1.18358, 0.380687, -7104.99, -936.075
1.17583, 0.385354, -7249.16, -967.602
1.16788, 0.390222, -7392.22, -999.977
1.15972, 0.395295, -7534.13, -1033.23
1.15136, 0.400584, -7674.85, -1067.38
1.14279, 0.406093, -7814.34, -1102.46
1.13401, 0.411832, -7952.57, -1138.5
1.12502, 0.417808, -8089.49, -1175.51
1.11581, 0.424028, -8225.07, -1213.51
1.10638, 0.430502, -8359.27, -1252.54
1.09673, 0.437238, -8492.05, -1292.59
1.08686, 0.444244, -8623.4, -1333.68
1.07675, 0.451528, -8753.28, -1375.83
1.06641, 0.459099, -8881.67, -1419.02
1.05583, 0.466967, -9008.55, -1463.27
1.04501, 0.475138, -9133.91, -1508.55
1.03395, 0.483623, -9257.74, -1554.85
1.02263, 0.492428, -9380.06, -1602.13
1.01107, 0.501563, -9500.87, -1650.37
0.999252, 0.511034, -9620.19, -1699.51
0.987175, 0.520847, -9738.07, -1749.48
0.974838, 0.53101, -9854.54, -1800.21
0.962237, 0.541526, -9969.68, -1851.61
0.949371, 0.552399, -10083.6, -1903.56
0.93624, 0.563631, -10196.3, -1955.93
0.922843, 0.575222, -10307.9, -2008.57
0.909181, 0.587169, -10418.7, -2061.32
0.895256, 0.599468, -10528.6, -2113.98
